Dark chocolate bar 45%-59% cacao;1;regular size bar - each 1.45 OZ;19.639;0;0;18.963;0.676;0;1.554
Dark chocolate bar 60%-69% cacao;1;regular size bar - each 1.45 OZ;15.051;0;0;14.92;0.127;0;2.075
Dark chocolate bar 70%-85% cacao;1;regular size bar - each 1.45 OZ;9.836;0;0;9.836;0;0;2.64
Dark chocolate bar, sugar free;0.5;bar - each 2.9 OZ;0.6;0;0.098;0.078;0.378;0;1.043
Dark chocolate bar, with almonds;1;bar - each 1.45 OZ;16.198;0.001;0.001;15.645;0.545;0.007;1.309
Dark chocolate candy pieces;9;kiss;19.639;0;0;18.963;0.676;0;1.554
Dark chocolate chips, 45%-59% cacao;1;tablespoon;5.029;0;0;4.856;0.173;0;0.398
Dark chocolate chips, 60%-69% cacao;1;tablespoon;3.855;0;0;3.821;0.033;0;0.531
Dark chocolate chips, 70%-85% cacao;1;tablespoon;2.519;0;0;2.519;0;0;0.676
Dark chocolate covered almonds;0.25;cup;17.448;0.012;0.007;16.83;0.591;0.003;1.406
Dark chocolate covered coffee beans;0.25;cup;17;0.016;0.104;17.748;0;0;3.012
Dark chocolate covered raisins;0.25;cup;26;2.411;2.578;20.477;0.42;0;1.199
Dark Fruit Chocolates (Liberty Orchards);3;piece;26.001;0.78;0.149;24.514;0.159;0.397;2.959
Dark Fruit Chocolates, Sugar Free (Liberty Orchards);2;piece;2.334;0.234;0.091;1.849;0.159;0;0.102
Divinity;3;piece;37.14;2.088;0.225;33.29;0.003;1.513;0
Divinity (Divinity Fudge);3;"piece - each 1"" x 1"" x 1""";25.067;1.41;0.156;22.478;0.003;1.017;0.003
Divinity, with nuts;3;piece;37.268;2.092;0.229;33.409;0.003;1.513;0.003
Dots, all flavors;11;piece;20;3.498;0.374;13.582;0;2.546;2
Double Dippers (Brach's);15;piece;18.031;0.052;0.052;16.776;1.987;0;1.518
Dove Almond Dark Chocolate Bar;1;bar - each 1.2 OZ;13.062;0.001;0.001;12.616;0.439;0.006;1.055
Dove Promises, Almond Dark Chocolate;5;piece;15.484;0.001;0.001;14.955;0.521;0.007;1.251
Dove Promises, Almond Milk Chocolate;5;piece;16.62;0.064;0.064;15.097;2.399;0.007;0.474
Dove Promises, Caramel Milk Chocolate;5;piece;18.591;1.18;0.173;15.266;1.987;0.821;0.348
Dove Promises, Dark Chocolate;5;piece;19.16;0;0;18.5;0.66;0;1.516
Dove Promises, Milk Chocolate;5;piece;20.6;0.08;0.08;18.68;3.04;0;0.532
Dove Promises, Peanut Butter Milk Chocolate;5;piece;17.031;0.06;0.06;15.591;2.28;0;0.607
